watch_id,user_id,content_id,watch_date,session_duration,completion_rate
1,1,C0341,2025-11-20,43.4,51.05
2,1,C0406,2025-12-17,42.4,43.72
3,1,C0237,2026-05-18,106.3,77.59
4,2,C0279,2026-04-15,37.2,37.53
5,3,C0484,2026-05-18,73.9,57.76
6,3,C0235,2026-05-29,59.3,57.57
7,4,C0120,2025-12-23,40.2,43.68
8,5,C0189,2025-10-01,50.8,45.78
9,5,C0376,2026-01-22,77.3,70.26
10,5,C0150,2026-04-26,153.2,93.43
11,6,C0266,2025-04-13,22.5,38.14
12,6,C0383,2025-09-10,141.2,92.9
13,6,C0143,2025-10-22,80.5,64.96
14,6,C0249,2025-12-07,89.5,72.78
15,6,C0063,2026-03-18,70.5,62.96
16,6,C0100,2026-04-22,43.9,44.35
17,7,C0325,2024-05-06,45.3,48.75
18,7,C0302,2024-08-19,85.1,64.49
19,7,C0312,2024-12-14,65.7,44.38
20,7,C0390,2025-03-20,52.3,46.26
21,7,C0257,2026-01-13,32.9,48.38
22,8,C0269,2026-01-18,37.0,35.57
23,9,C0245,2025-02-19,64.1,51.32
24,9,C0153,2025-08-31,56.5,64.98
25,9,C0083,2025-09-24,46.8,53.75
26,9,C0355,2025-11-08,47.7,62.74
27,10,C0110,2025-10-28,19.4,23.98
28,10,C0461,2026-01-24,86.3,64.86
29,11,C0080,2025-12-14,25.7,23.61
30,11,C0099,2026-01-29,19.7,24.9
31,11,C0016,2026-02-07,35.3,22.07
32,13,C0335,2025-11-01,27.9,19.79
33,13,C0471,2025-11-13,84.4,73.36
34,13,C0383,2026-06-24,98.4,64.72
35,14,C0323,2023-08-09,65.3,72.59
36,14,C0202,2023-08-25,45.5,41.79
37,14,C0289,2023-10-12,57.4,65.22
38,14,C0042,2024-01-06,98.0,81.71
39,14,C0198,2024-05-15,62.9,85.0
40,14,C0084,2024-07-12,40.2,39.77
41,14,C0407,2024-09-04,37.3,54.0
42,14,C0440,2024-09-22,60.6,61.81
43,14,C0480,2024-10-17,37.7,44.93
44,14,C0489,2024-11-04,98.0,100.0
45,14,C0251,2024-12-13,44.7,79.73
46,14,C0067,2025-03-14,41.4,78.04
47,14,C0006,2025-04-22,33.0,73.25
48,14,C0408,2025-06-25,48.5,64.68
49,14,C0030,2025-07-02,66.0,71.79
50,14,C0302,2025-07-16,101.7,77.01
51,14,C0495,2026-01-02,62.9,57.2
52,14,C0178,2026-06-03,76.2,49.13
53,15,C0052,2023-11-18,9.9,19.44
54,15,C0484,2024-10-17,75.6,59.09
55,15,C0338,2025-05-08,41.3,37.23
56,15,C0189,2026-03-30,59.7,53.77
57,16,C0052,2024-05-07,7.3,14.4
58,16,C0061,2024-10-10,37.5,35.71
59,16,C0404,2025-01-18,11.9,16.09
60,16,C0249,2025-09-20,50.6,41.15
61,16,C0285,2025-10-26,39.2,38.06
62,18,C0075,2024-12-13,54.0,36.98
63,18,C0404,2025-02-08,39.1,52.9
64,18,C0020,2025-08-21,80.9,75.6
65,18,C0036,2025-09-28,48.4,45.66
66,18,C0368,2026-04-15,66.5,48.56
67,18,C0132,2026-05-21,18.8,18.41
68,19,C0072,2024-01-06,65.1,54.74
69,19,C0222,2024-01-24,30.0,30.04
70,19,C0057,2024-04-01,43.5,51.15
71,19,C0382,2024-06-22,13.8,20.22
72,19,C0389,2024-09-25,87.1,66.5
73,19,C0037,2024-12-07,96.0,79.32
74,19,C0011,2024-12-12,63.2,38.78
75,19,C0364,2025-03-26,44.3,85.12
76,19,C0006,2025-04-18,45.0,100.0
77,19,C0245,2025-07-25,54.7,43.76
78,19,C0227,2025-09-16,66.6,64.09
79,19,C0241,2025-11-14,31.9,22.29
